=== TechSphere Corporation Security Camera Footage ===
Date: 2025-07-13
Hour: 08:00 - 09:00
Location: Corporate Headquarters

[08:02] Abbilaash in conference room
[08:10] Abbilaash exits office building
[08:12] Richitha at coffee machine
[08:13] Kanishka walking down corridor
[08:17] Shashwath walking down corridor
[08:21] Jayasurya at filing cabinet
[08:23] Tejas at coffee machine
[08:23] Shashwath walking down corridor
[08:26] Dhaarun enters office building
[08:32] Dhaarun exits office building
[08:41] Darshan enters office building
[08:57] Tejas using phone booth
