=== TechSphere Corporation Security Camera Footage ===
Date: 2025-06-05
Hour: 12:00 - 13:00
Location: Corporate Headquarters

[12:01] Dhaarun using printer
[12:08] Dhaarun at filing cabinet
[12:11] Kanishka in conference room
[12:12] Kanishka at reception desk
[12:17] Abbilaash enters office building
[12:22] Kanishka using phone booth
[12:29] Dhaarun at reception desk
[12:34] Rizvi walking down corridor
[12:40] Shashwath at reception desk
[12:40] Rizvi at coffee machine
[12:47] Dhaarun walking down corridor
[12:54] Dhaarun exits office building
